Title,,GMD,,,,Publisher,,,Type of book,Call #,?,Publishing city,Call #,?,?,?,Author,Category,Item
Doraemon Petualangan 10,n 10,Text,,,,Elex Media Komputindo,1996,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702318>
Doraemon Petualangan 11,n 11,Text,,,,Elex Media Komputindo,1996,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702319>
Doraemon Petualangan 12,n 12,Text,,,,Elex Media Komputindo,1996,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702320>
Doraemon Petualangan 13,n 13,Text,,,,Elex Media Komputindo,1996,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702321>
Doraemon Petualangan 14,n 14,Text,,,,Elex Media Komputindo,1996,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702322>
Doraemon Petualangan 15,n 15,Text,,,,Elex Media Komputindo,1996,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702323>
Doraemon Petualangan 16,n 16,Text,,,,Elex Media Komputindo,1996,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702324>
Doraemon Petualangan 17,n 17,Text,,,,Elex Media Komputindo,1999,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702325>
Doraemon Petualangan 18,n 18,Text,,,,Elex Media Komputindo,2001,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio >,<Komik Bergambar>,<T702326>
Doraemon Petualangan 19,n 19,Text,,,,Elex Media Komputindo,2001,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702327>
Doraemon Petualangan 2,an 2,Text,,,,Elex Media Komputindo,1995,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702307>
Doraemon Petualangan 20,n 20,Text,,,,Elex Media Komputindo,2001,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702328>
Doraemon Petualangan 21,n 21,Text,,,,Elex Media Komputindo,2003,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702329>
Doraemon Petualangan 22,n 22,Text,,,,Elex Media Komputindo,2003,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702330>
Doraemon Petualangan 23 (Nobita dan Angin Ajaib),aib),Text,,,,Elex Media Komputindo,2005,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702295>
Doraemon Petualangan 23 (Nobita dan Angin Ajaib) - c2,#VALUE!,Text,,,,Elex Media Komputindo,2005,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio >,<Komik Bergambar>,<T702296>
Doraemon Petualangan 24 (Kisah Negeri Anjing dan Kucing),ing),Text,,,,Elex Media Komputindo,2005,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702297>
Doraemon Petualangan 3,an 3,Text,,,,Elex Media Komputindo,1995,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702308>
Doraemon Petualangan 4,an 4,Text,,,,Elex Media Komputindo,1995,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702309>
Doraemon Petualangan 5,an 5,Text,,,,Elex Media Komputindo,1995,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio >,<Komik Bergambar>,<T702310>
Doraemon Petualangan 5 - c2,#VALUE!,Text,,,,Elex Media Komputindo,1995,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702311>
Doraemon Petualangan 6,an 6,Text,,,,Elex Media Komputindo,1995,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702312>
Doraemon Petualangan 6 - c2,#VALUE!,Text,,,,Elex Media Komputindo,1995,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702313>
Doraemon Petualangan 7,an 7,Text,,,,Elex Media Komputindo,1995,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702314>
Doraemon Petualangan 8,an 8,Text,,,,Elex Media Komputindo,1996,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702315>
Doraemon Petualangan 8 - c2,#VALUE!,Text,,,,Elex Media Komputindo,1996,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702316>
Doraemon Petualangan 9,an 9,Text,,,,Elex Media Komputindo,1996,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702317>
Doraemon Pika-pika 1,ka 1,Text,,,,Elex Media Komputindo,2006,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702301>
Doraemon Pika-pika 2,ka 2,Text,,,,Elex Media Komputindo,2006,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702302>
Doraemon Pika-pika 3,ka 3,Text,,,,Elex Media Komputindo,2006,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702303>
Doraemon Pika-pika 4,ka 4,Text,,,,Elex Media Komputindo,2006,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702304>
Doraemon Pika-pika 5,ka 5,Text,,,,Elex Media Komputindo,2006,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702305>
Doraemon Pika-pika 8,ka 8,Text,,,,Elex Media Komputindo,2009,,Doraemon,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702851>
Doraemon Plus 1,us 1,Text,,,,Elex Media Komputindo,2005,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702285>
Doraemon Plus 2,us 2,Text,,,,Elex Media Komputindo,2005,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702286>
Doraemon Plus 3,us 3,Text,,,,Elex Media Komputindo,2006,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702287>
Doraemon Plus 4,us 4,Text,,,,Elex Media Komputindo,2006,,Komik,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702288>
Doraemon Robot 16,t 16,Text,,,,Elex Media Komputindo,2005,,Cerita Spesial,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702363>
Doraemon Shizuka 8,ka 8,Text,,,,Elex Media Komputindo,2003,,Cerita Spesial,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702353>
Doraemon Suneo 9,eo 9,Text,,,,Elex Media Komputindo,2003,,Cerita Spesial,741.3,,Jakarta,741.3,,,,<Fujiko F Fujio>,<Komik Bergambar>,<T702354>
Doubler,bler,Text,,,,,2012,,Fantas Teen,813,,,813,,,,<Dienda Sarteka>,<Novel / Fiksi>,<T704766>
Dragon Ball II,l II,Text,,,,Rajawali Grafiti,,,Komik,741.3,,,741.3,,,,<Tim Penulis >,<Komik Bergambar>,<T704045>
Dragon Ball II 39,I 39,Text,,,,Rajawali Grafiti,,,Komik,741.3,,,741.3,,,,<Tim Penulis >,<Komik Bergambar>,<T704046>
Drake dan Para Penjelajah di Masa Elizabeth,beth,Text,,,,Elex Media Komputindo,2002,,Penjelajah Dunia,923,,Jakarta,923,,,,<John Guy >,<Pengetahuan Anak>,<T704069>
Dream Kiss 2,ss 2,Text,,,,Elex Media Komputindo,2004,,Komik,741.3,,Jakarta,741.3,,,,<Ohya Kazumi>,<Komik Bergambar>,<T702455>
Dreams Under the Sea (Perkawinan Khayalan),lan),Text,,,,Gramedia Pustaka Utama,2006,,Disney Princess,823,,Jakarta,823,,,,<K. Emily Hutta>,<Cerita Anak>,<T701880>
Drop Cookies,kies,Text,,,,Gramedia Pustaka Utama,2006,,Seri Usaha Boga,641.8,,Jakarta,641.8,,,,<Nenden Kirana >,<Masak-kue>,<T703135>
Drunken Monster,ster,Text,,,,Dari Mizan,2008,,Kumpulan Kisah Tidak Teladan,813,,Bandung,813,,,,<Pidi Baiq>,<Cerita Dewasa>,<T701166>
Drunken Monster - c2,#VALUE!,Text,,,,Dari Mizan,2008,,Kumpulan Kisah Tidak Teladan,813,,Bandung,813,,,,<Pidi Baiq>,<Cerita Dewasa>,<T701167>
Dua Belas Hari Masa natal,atal,Text,,,,Quality Press,,,Seri Tarantula,823,,,823,,,,<Judy Hamilton>,<Cerita Anak>,<T700334>
Dua Belas Pasang Sepatu,patu,Text,,,,Metalexia Publishing,2009,,Cerita Anak,823,,Jakarta,823,,,,<Luis P Gatmaitan>,<Cerita Anak>,<T703061>
Dua belas Pasang Sepatu,patu,Text,,,,Matalexia,2002,,Cerita Anak,,,Jakarta,,,,,<Luis P. Gatmaitan>,<Cerita Anak>,<T704871>
Dua Belas Putri Berdansa,ansa,Text,,,,PT. Buana Ilmu Populer,2013,,Grimm's Fairy Tales,,,Jakarta,,,,,<Maria Susanto>,<Cerita Anak>,<T704900>
Dua Belas Putri Penari,nari,Text,,,,Gramedia Pustaka Utama,2003,,Seri Pustaka Kecil,823,,Jakarta,823,,,,<Grimm>,<Cerita Anak>,<T703233>
Dua Beruang Tegar,egar,Text,,,,Erlanggan Four Kids,,,Bilingual,823,,Jakarta,823,,,,<Kilmeny Niland>,<Cerita Anak>,<T704820>
Duabelas Hari Masa Natal,atal,Text,,,,Quality Press,2002,,Seri Tarantula,823,,Jakarta,823,,,,<Liz Sawyer>,<Cerita Anak>,<T701625>
Duck ( Bebek ),ek ),Text,,,,Bestari Kids,2008,,Animal Around Us,636.5,,Jakarta,636.5,,,,<Setiawan G. Sasongko>,<Pengetahuan Anak>,<T700620>
Duck (Bebek),bek),Text,,,,Bestari Buana Murni,2008,,Animal Around Us,598,,Jakarta,598,,,,<Setiawan G Sasongko >,<Pengetahuan Anak>,<T703579>
Duck (Bebek) - c2,#VALUE!,Text,,,,Bestari Kids,2008,,Animal Around Us,636.5,,Jakarta,636.5,,,,<Setiawan G Sasongko>,<Pengetahuan Anak>,<T701335>
Dumbo si Gajah Terbang,bang,Text,,,,Gramedia Pustaka Utama,1999,,Pilih Sendiri Petualanganmu,823,,Jakarta,823,,,,<Jim Razzi >,<Cerita Anak>,<T703191>
Dumbo yang Bandel,ndel,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo>,<Cerita Anak>,<T702131>
Dumbo yang Bandel,ndel,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo >,<Cerita Anak>,<T703468>
Dumbo yang Bandel - c2,#VALUE!,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo>,<Cerita Anak>,<T702132>
Dunia Alami,lami,Text,,,,Quality Press,,,Katakan Kepadaku Mengapa,523.1,,,523.1,,,,<Alexander Sindoro>,<Pengetahuan Anak>,<T700284>
Dunia Alami,lami,Text,,,,Quality Press,,,Katakan Kepadaku Bagaimana,523.1,,,523.1,,,,<Alexander Sindoro>,<Pengetahuan Anak>,<T700290>
Dunia Bawah Air, Air,Text,,,,Yudhistira,2007,,Serial Ilmu Pengetahuan Populer,590,,Bogor,590,,,,<Sema Gul >,<Pengetahuan Anak>,<T703474>
Dunia Kita,Kita,Text,,,,,,,Katakan Kepadaku Kapan,523.1,,,523.1,,,,<Alexander Sindoro>,<Pengetahuan Anak>,<T700291>
Dunia Mikroorganisme,isme,Text,,,,Yudhistira,2007,,Serial Ilmu Pengetahuan Populer,576,,Bogor,576,,,,<Sema Gul >,<Pengetahuan Anak>,<T703475>
Dunia Tanaman,aman,Text,,,,Quality Press,,,Katakan Kepadaku Mengenai,581,,,581,,,,<Alexander sindoro>,<Pengetahuan Anak>,<T700203>
Dunia Tumbuhan,uhan,Text,,,,Widyadara,1979,,Pustaka Pengetahuan Modern,581,,Jakarta,581,,,,<Jonathan Rutland>,<Pengetahuan Dewasa>,<T703397>
Dunia Tumbuhan,uhan,Text,,,,Yudhistira,2007,,Serial Ilmu Pengetahuan Populer,581,,Bogor,581,,,,<Sema Gul >,<Pengetahuan Anak>,<T703469>
Earthquake! Gempa!,mpa!,Text,,,,Gramedia Pustaka Utama,2010,,Bencana Alam,904,,Jakarta,904,,,,<Marion Dane Bauer >,<Pengetahuan Anak>,<T704177>
Earthquake! Gempa!,mpa!,Text,,,,Gramedia Pustaka Utama,2010,,Bencana Alam,904,,Jakarta,904,,,,<Marion Dane Bauer >,<Pengetahuan Anak>,<T704382>
"Eat, Pray, Love ",ove ,Text,,,,Abdi Tandur,2007,,Kisah Perjalanan,823,,,823,,,,<Elizabeth Gilbert >,<Novel / Fiksi>,<T704277>
Edensor,nsor,Text,,,,Bentang Pustaka,2008,,Novel,813,,Yogyakarta,813,,,,<Andrea Hirata>,<Novel / Fiksi>,<T701082>
Edensor  - c2,#VALUE!,Text,,,,Bentang Pustaka,2008,,Novel,813,,Yogyakarta,813,,,,<Andrea Hirata>,<Novel / Fiksi>,<T701083>
Edensor - c3,#VALUE!,Text,,,,Bentang Pustaka,2008,,Novel,813,,Yogyakarta,813,,,,<Andrea Hirata>,<Novel / Fiksi>,<T701544>
Edgard Loves Fruits (Edgard Suka Buah-buahan),han),Text,,,,Bhuana Ilmu Populer,2010,,Edgard Series,813,,Jakarta,813,,,,<Dian Kristiani >,<Cerita Anak>,<T703535>
Edgard Loves Sport (Edgard Suka Olahraga),aga),Text,,,,Bhuana Ilmu Populer,2010,,Edgard Series,813,,Jakarta,813,,,,<Dian Kristiani >,<Cerita Anak>,<T703536>
Edgard Loves To Stay Clean (Ergard Suka Menjaga Kebersihan),han),Text,,,,Bhuana Ilmu Populer,2010,,Edgard Series,813,,Jakarta,813,,,,<Dian Kristiani >,<Cerita Anak>,<T703534>
Edgard Loves Vegetables (Edgard Suka Sayur-sayuran),ran),Text,,,,Bhuana Ilmu Populer,2010,,Edgard Series,813,,Jakarta,813,,,,<Dian Kristiani >,<Cerita Anak>,<T703533>
Edu-K for Kids,Kids,Text,,,,Grasindo,2003,,Pengetahuan,370.11,,Jakarta,370.11,,,,<Paul E Denisson>,<Pengetahuan Anak>,<T702850>
Egg to Chicken,cken,Text,,,,Tiga Serangkai,2010,,Daur Ulang,636.5,,Solo,636.5,,,,<Camilla de la Bedoyere>,<Aktivitas - Umum>,<T704355>
Einstein aja Ingin Tahu 1,hu 1,Text,,,,Scientific Press,2004,,Einstein aja Ingin Tahu,121,,Batam,121,,,,<Kathy Wollard    >,<Pengetahuan Dewasa>,<T701592>
Einstein aja Ingin Tahu 2,hu 2,Text,,,,Scientific Press,2004,,Einstein aja Ingin Tahu,121,,Batam,121,,,,<Kathy Wollard    >,<Pengetahuan Dewasa>,<T701593>
Ekologi - c2,#VALUE!,Text,,,,Elex Media Komputindo,2003,,Dunia Sains,574.5,,Jakarta,574.5,,,,<Terry Jennings >,<Pengetahuan Anak>,<T704083>
Ekologi (Ilmu Tentang Makhluk Hidup),dup),Text,,,,Elex Media Komputindo,,,Dunia Sains,574.5,,,574.5,,,,<Terry Jennings>,<Pengetahuan Anak>,<T700044>
Ekonomi 1,mi 1,Text,,,,Bhuana Ilmu Populer,2010,,3 Menit Belajar,330,,Jakarta,330,,,,<Seok Hye Won>< Kim Yeon Seung >,<Pengetahuan Anak>,<T704226>
Ekonomi 2,mi 2,Text,,,,Bhuana Ilmu Populer,2010,,3 Menit Belajar,330,,Jakarta,330,,,,<Seok Hye Won>< Kim Yeon Seung >,<Pengetahuan Anak>,<T704227>
Ekor Yang Pendek,ndek,Text,,,,Quality Press,,,Rangkaian Kisah Christopher,823,,Jakarta,823,,,,<Barbara Davoll>,<Cerita Anak>,<T701596>
Ekor yang Pendek,ndek,Text,,,,Quality Press,,,Rangkaian Kisah Christopher,823,,Jakarta,823,,,,<Barbara Davoll>,<Cerita Anak>,<T702928>
Eksotika Hidangan Asiatik,atik,Text,,,,Gramedia Pustaka Utama,2006,,Buku Masakan,641.5,,Jakarta,641.5,,,,<Fajar Ayuningsih>,<Masak-makanan>,<T703168>
Elang,lang,Text,,,,Quality Press,,,Memahami Tentang Satwa,598.2,,,598.2,,,,<Lucky Baker>,<Pengetahuan Anak>,<T700246>
Eldest,dest,Text,,,,Gramedia Pustaka Utama,2006,,Fiksi,813,,Jakarta,813,,,,<Christopher Paolini>,<Novel / Fiksi>,<T700594>
Eldest,dest,Text,,,,PT. Gramedia Pustaka Utama,2009,,Novel,,,Jakarta,,,,,<Christopher Paolini>,<Novel / Fiksi>,<T704896>
Eldest - c2,#VALUE!,Text,,,,Gramedia Pustaka Utama,2006,,Novel,823,,Jakarta,823,,,,<Christopher Paolini>,<Novel / Fiksi>,<T703041>
Eldest - c3,#VALUE!,Text,,,,Gramedia Pustaka Utama,2007,,Novel,823,,Jakarta,823,,,,<Christoper Paolini >,<Novel / Fiksi>,<T704634>
Elektronika dan Tenaga,naga,Text,,,,Tira Pustaka,1984,,Khasanah Pengetahuan Bagi Anak-anak,621.381,,Jakarta,621.381,,,,<Iwao Mitsuishi >,<Pengetahuan Dewasa>,<T703409>
Elektronika dan Tenaga - c2,#VALUE!,Text,,,,Tira Pustaka,1984,,Khasanah Pengetahuan Bagi Anak-anak,621.381,,Jakarta,621.381,,,,<Iwao Mitsuishi >,<Pengetahuan Dewasa>,<T703410>
Elmer Adu Berisik,isik,Text,,,,Dian Rakyat,1994,,Bugs Bunny,823,,Jakarta,823,,,,<Tim Penulis                 >,<Cerita Anak>,<T701991>
Elmer Adu Berisik - c2,#VALUE!,Text,,,,Dian Rakyat,1994,,Bugs Bunny,823,,Jakarta,823,,,,<Tim Penulis                   >,<Cerita Anak>,<T702089>
Emas Si Logam Mulia,ulia,Text,,,,Bestari Kids,2010,,Seri Sains Logam,669,,Jakarta,669,,,,<Koko Nata>< Dedi Fadilah >,<Pengetahuan Anak>,<T704268>
Ember Terbang,bang,Text,,,,Elex Media Komputindo,2009,,Seri Petualangan Air,598,,Jakarta,598,,,,<Nur Ayati >,<Pengetahuan Anak>,<T703756>
"Emily, the Arrogant Witch",itch,Text,,,,Bhuana Ilmu Populer,2005,,Shirley The Good Little Witch,823,,Jakarta,823,,,,<Arleen>,<Cerita Anak>,<T701931>
Empat Dongeng Dari Dunia Grimm,rimm,Text,,,,Gramedia Pustaka Utama,2005,,Fairy Tales,823,,Jakarta,823,,,,<Arnica Esterl>,<Cerita Anak>,<T702174>
Endometriosis,osis,Text,,,,Gramedia Pustaka Utama,2007,,Kesehatan,616,,Jakarta,616,,,,<Vitahealth>,<Pengetahuan Dewasa>,<T701483>
Energi,ergi,Text,,,,Interaksara,,,Sains Melalui Seni,704.94,,,704.94,,,,<Andrew Charman>,<Pengetahuan Anak>,<T700240>
Energi,ergi,Text,,,,Tira Pustaka,1983,,Pustaka Ilmu - Life,531.6,,Jakarta,531.6,,,,<Mitchell Wilson>,<Pengetahuan Dewasa>,<T701740>
English Conversations Plus,Plus,Text,,,,Setia Kawan,2009,,Conversations,428,,Jakarta,428,,,,<Sonny Pradana >,<Kamus>,<T703812>
Ensiklopedi Tanaman Obat Indonesia,esia,Text,,,,PalMall,2009,,Ensiklopedi,633.8,,Yogyakarta,633.8,,,,<Sugeng Haryanto>,<Umum>,<T702577>
Ensiklopedia BINATANG PEMECAH REKOR,EKOR,Text,,,,Tim Sunrise Pictures,2011,,Pengetahuan,590,,Jakarta,590,,,,<Tim Sunrise Pictures>,<Pengetahuan Dewasa>,<T704748>
Ensiklopedia Fisika Cahaya dan Optik,ptik,Text,,,,Penerbit Ganeca Exact,2007,,Pengetahuan,535,,Jakarta,535,,,,<Dra. Sri Soeyati>< M. SI><DR. rer . Nat . Agus Salam>,<Pengetahuan Dewasa>,<T704705>
"Ensiklopedia Fisika Gaya , Usaha dan Energi",ergi,Text,,,,Penerbit Ganeca Exact,2007,,Pengetahuan,531.1,,Jakarta,531.1,,,,<Dra. Sri Soeyati>< M. SI><DR. rer . Nat . Agus Salam>,<Pengetahuan Dewasa>,<T704710>
"Ensiklopedia Fisika Getaran , Gelombang dan Bunyi",unyi,Text,,,,Penerbit Ganeca Exact,2007,,Pengetahuan,539.2,,Jakarta,539.2,,,,<Dra. Sri Soeyati>< M. SI><DR. rer . Nat . Agus Salam>,<Pengetahuan Dewasa>,<T704708>
Ensiklopedia Fisika Listrik dan Magnet,gnet,Text,,,,Penerbit Ganeca Exact,2007,,Pengetahuan,537,,Jakarta,537,,,,<DR. rer . Nat . Agus Salam>,<Pengetahuan Dewasa>,<T704709>
Ensiklopedia Fisika Tata Surya dan Penjelajahan Ruang Angkasa,kasa,Text,,,,Penerbit Ganeca Exact,2007,,Pengetahuan,523,,Jakarta,523,,,,<Dra. Sri Soeyati>< M. SI>,<Pengetahuan Dewasa>,<T704706>
Ensiklopedia Fisika Zat dan Perubahannya,nnya,Text,,,,Penerbit Ganeca Exact,2007,,Pengetahuan,539.1,,Jakarta,539.1,,,,<Dra. Sri Soeyati>< M. SI>,<Pengetahuan Dewasa>,<T704707>
Ensiklopedia Hewan,ewan,Text,,,,Ganeca Exact,2006,,Buku Referensi Seri IPA,30,,Jakarta,30,,,,<Djoko Santoso >,<Pengetahuan Dewasa>,<T704294>
Ensiklopedia Jamur,amur,Text,,,,Ganeca Exact,2006,,Buku Referensi Seri IPA,30,,Jakarta,30,,,,<Diah Rahmatia>< Pipit Pitriana >,<Pengetahuan Dewasa>,<T704292>
Ensiklopedia Lingkungan Hidup,idup,Text,,,,Ganeca Exact,2006,,Buku Referensi Seri IPA,30,,Jakarta,30,,,,<Diah Rahmatia>< Pipit Pitriana >,<Pengetahuan Dewasa>,<T704290>
Ensiklopedia Manusia,usia,Text,,,,Ganeca Exact,2006,,Buku Referensi Seri IPA,30,,Jakarta,30,,,,<Djoko Santoso >,<Pengetahuan Dewasa>,<T704295>
Ensiklopedia MATEMATIKA,TIKA,Text,,,,PT. Ikrar Mandiriabadi,2007,,Pengetahuan,372.7,,Jakarta,372.7,,,,<Yoni Yuniarto>,<Pengetahuan Dewasa>,<T704704>
Ensiklopedia Mikroba,roba,Text,,,,Ganeca Exact,2006,,Buku Referensi Seri IPA,30,,Jakarta,30,,,,<Diah Rahmatia>< Pipit Pitriana >,<Pengetahuan Dewasa>,<T704291>
Ensiklopedia Mini,Mini,Text,,,,Erlangga,2003,,Ensiklopedia,30,,Jakarta,30,,,,<Anne Civardi >,<Pengetahuan Dewasa>,<T701274>
Ensiklopedia Mini Hewan,ewan,Text,,,,Erlangga,2003,,Ensiklopedia,30,,Jakarta,30,,,,<John Farndon>,<Pengetahuan Dewasa>,<T701277>
Ensiklopedia Mini Sains,ains,Text,,,,Erlangga,2003,,Ensiklopedia,30,,Jakarta,30,,,,<Chris Oxlade>,<Pengetahuan Dewasa>,<T701275>
Ensiklopedia Mini Tubuh Manusia,usia,Text,,,,Erlangga,2003,,Ensiklopedia,30,,Jakarta,30,,,,<Richard Walker>,<Pengetahuan Dewasa>,<T701276>
Ensiklopedia Pahlawan Nasional,onal,Text,,,,Penerbit Tanda Baca,,,Ensiklopedia,920.3,,,920.3,,,,<Tanda Baca>,<Pengetahuan Dewasa>,<T700007>
"Ensiklopedia Penduduk, Negara, dan Sejarah",arah,Text,,,,Dian Artha,2007,,Ensiklopedia,30,,,30,,,,<Tim Dian Artha>,<Pengetahuan Dewasa>,<T700521>
Ensiklopedia Pengetahuan Flora & Fauna,auna,Text,,,,Tiga Serangkai,2007,,Ensiklopedia,30,,Solo,30,,,,<Tim Penulis>,<Pengetahuan Dewasa>,<T701534>
Ensiklopedia Tanaman Obat Indonesia,esia,Text,,,,Palmall,2010,,Pengetahuan,,,Yogyakarta,,,,,<Sugeng Haryanto>,<Pengetahuan Dewasa>,<T704873>
Ensiklopedia Tumbuhan,uhan,Text,,,,Ganeca Exact,2006,,Buku Referensi Seri IPA,30,,Jakarta,30,,,,<Djoko Santoso >,<Pengetahuan Dewasa>,<T704293>
Enzo Ferrari,rari,Text,,,,Grasindo,2008,,Biografi Orang Sukses,926,,Jakarta,926,,,,<G. Wu>,<Pengetahuan Anak>,<T702179>
Epilepsi,epsi,Text,,,,Bestari Kids,2008,,Seri Aku Anak Sehat,616.8,,Jakarta,616.8,,,,<Rasyid Akbar >,<Cerita Anak>,<T703594>
Epilepsi - c2,#VALUE!,Text,,,,Bestari Kids,2008,,Seri Aku Anak Sehat,616.8,,Jakarta,616.8,,,,<Rasyid Akbar >,<Cerita Anak>,<T703831>
Epileptik 2,ik 2,Text,,,,Gramedia Pustaka Utama,2008,,Novel Grafis,813,,Jakarta,813,,,,<David B>,<Novel / Fiksi>,<T702677>
Eragon,agon,Text,,,,Gramedia Pustaka Utama,2006,,Fiksi,813,,Jakarta,813,,,,<Christopher Paolini>,<Novel / Fiksi>,<T700593>
Eragon - c2,#VALUE!,Text,,,,Gramedia Pustaka Utama,2004,,Novel,823,,Jakarta,823,,,,<Christopher Paolini>,<Novel / Fiksi>,<T703040>
"Ernest, Robert Woodruff & Roberto Goizueta",ueta,Text,,,,Grasindo,2008,,Biografi Orang Sukses,923,,Jakarta,923,,,,<G Wu >,<Pengetahuan Anak>,<T704350>
Es Bunglon,glon,Text,,,,Midas Surya Grafindo,1987,,Sophie yang Kocak,823,,Jakarta,823,,,,<Jidehem>,<Cerita Anak>,<T702987>
Es Campur Buah Segar,egar,Text,,,,Gramedia Pustaka Utama,2007,,Resep Prsktis Sisca Soewitomo,641.8,,Jakarta,641.8,,,,<Sisica Soewitomo >,<Masak-minuman>,<T703146>
Es Krim Pasir,asir,Text,,,,Tiga Serangkai,,,Barney,823,,Solo,823,,,,<Sheryl Berk>,<Cerita Anak>,<T702510>
Es Krim Pasir - c2,#VALUE!,Text,,,,Tiga Serangkai,-,,Barney,,,Solo,,,,,<Stephen White >,<Cerita Anak>,<T704954>
Esio Trot,Trot,Text,,,,Gramedia Pustaka Utama,2010,,Novel Anak,823,,Jakarta,823,,,,<Roald Dahl >,<Novel / Fiksi>,<T704210>
Esio Trot (Aruk-aruk),ruk),Text,,,,Gramedia Pustaka Utama,2006,,Roald Dahl,813,,Jakarta,813,,,,<Quentin Blake>,<Novel / Fiksi>,<T700435>
Esio Trot (Aruk-aruk) - c2,#VALUE!,Text,,,,Gramedia Pustaka Utama,2006,,Novel,823,,Jakarta,823,,,,<Roald Dahl>,<Novel / Fiksi>,<T703054>
Esio Trot (Aruk-aruk) - c3,#VALUE!,Text,,,,Gramedia Pustaka Utama,2006,,Novel,823,,Jakarta,823,,,,<Roald Dahl>,<Novel / Fiksi>,<T703055>
Etika Lingkungan Global,obal,Text,,,,Kreasi Wacana,2010,,Pengetahuan,,,Bantul,,,,,<Robin Attfield>,<Pengetahuan Dewasa>,<T704874>
Etika Lingkungan Global - c2,#VALUE!,Text,,,,Kreasi Wacana,2010,,Pengetahuan,,,Bantul,,,,,<Robin Attfield>,<Pengetahuan Dewasa>,<T704875>
